pof_vintage,weight_reference_month,effective_from,sidra_area_level,sidra_area_code,area_name,snipc_subgroup_code,sidra_category_id,snipc_subitem_code,subitem_name,weight_pct_total_ipca,source_sheet,source_row,source_url,source_archive_sha256
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12394,1111019,Iogurte e bebidas lácteas,0.1360,SP,76,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,47627,1111021,Requeijão,0.0940,SP,77,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7373,1112003,Biscoito,0.3388,SP,79,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7375,1112015,Pão francês,0.6914,SP,80,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7376,1112017,Pão doce,0.1150,SP,81,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7377,1112018,Pão de forma,0.1192,SP,82,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7378,1112019,Bolo,0.1366,SP,83,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7385,1113013,Óleo de soja,0.1378,SP,85,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7386,1113014,Azeite de oliva,0.0842,SP,86,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,12395,1113040,Margarina,0.0752,SP,87,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7390,1114001,Suco de frutas,0.1426,SP,89,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,7392,1114022,Café moído,0.2619,SP,90,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
2017-2018,2019-12,2020-01-01,N7,3501,São Paulo (SP),1100000,107621,1114083,Refrigerante e água mineral,0.5101,SP,91,https://ftp.ibge.gov.br/Precos_Indices_de_Precos_ao_Consumidor/IPCA/Atualizacao_das_Estruturas_POF2017-2018/Estruturas_para_divulgacao_dez19.zip,0ba845113682c96015a0e93daf4b10bc93aad82c2c1d6ea406282af958bf9104
